TxPower,PacketInterval,Throughput_Mbps,Delay_s,PDR,Flows
10,0.2,0.001313,0.000585841,0.265287,30
10,0.5,0.000197973,0.000110065,0.1,30
10,1,0.000131982,0.000252496,0.133333,30
12,0.2,0.000985316,0.000286321,0.19908,30
12,0.5,0.000197973,8.3516e-05,0.1,30
12,1,0.000228693,0.000692363,0.231034,30
14,0.2,0.000824889,0.000220728,0.166667,30
14,0.5,0.00065536,0.000885699,0.331034,30
14,1,0.000195698,0.000526724,0.197701,30
16,0.2,0.000989867,0.000165459,0.2,30
16,0.5,0.000779378,0.00471097,0.393678,30
16,1,0.000196836,0.000554295,0.198851,30
